NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_INT,GEN_ACT2
(PALS)BEAVER CREEK FUELS REDUCTION PROJECT,INT_CUT,2014-08-31,3.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)BEAVER CREEK FUELS REDUCTION PROJECT,INT_CUT,2016-12-19,80.0,841 days 00:00:00.000000000,841,INT_CUT
(PALS)ELK MOUNTAIN EAST VEGETATION MANAGEMENT,INT_CUT,2018-08-17,70.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA,2010-09-03,15.0,0 days 00:00:00.000000000,0,EA
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA,2012-11-26,5.0,815 days 00:00:00.000000000,815,EA
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA,2017-09-01,14.0,1740 days 00:00:00.000000000,1740,EA
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA,2017-11-10,79.0,70 days 00:00:00.000000000,70,EA
(PALS)LITTLE OPHIR HAZARDOUS FUELS REDUCTION PROJECT DECISION NOTICE & FONSI,INT_CUT,2012-09-21,95.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)LITTLE OPHIR HAZARDOUS FUELS REDUCTION PROJECT DECISION NOTICE & FONSI,INT_CUT,2014-09-01,42.0,710 days 00:00:00.000000000,710,INT_CUT
(PALS)LITTLE OPHIR HAZARDOUS FUELS REDUCTION PROJECT DECISION NOTICE & FONSI,INT_CUT,2015-09-03,416.0,367 days 00:00:00.000000000,367,INT_CUT
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,INT_CUTUA,2016-09-21,208.0,0 days 00:00:00.000000000,0,INT_CUT-UA
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,INT_CUTUA,2017-08-01,457.0,314 days 00:00:00.000000000,314,INT_CUT-UA
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,INT_CUTUA,2019-09-24,262.0,784 days 00:00:00.000000000,784,INT_CUT-UA
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2005-10-15,71.0,0 days 00:00:00.000000000,0,INT_CUT
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2006-10-15,35.0,365 days 00:00:00.000000000,365,INT_CUT
NORTH KENNEDY-COTTONWOOD TS,EAINT_CUT,2007-09-15,861.0,335 days 00:00:00.000000000,335,INT_CUT-EA
NORTH KENNEDY-COTTONWOOD TS,EAINT_CUT,2008-12-15,547.0,457 days 00:00:00.000000000,457,INT_CUT-EA
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2009-07-15,318.0,212 days 00:00:00.000000000,212,INT_CUT
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2009-07-30,42.0,15 days 00:00:00.000000000,15,INT_CUT
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EAINT_CUT,2007-09-15,193.0,0 days 00:00:00.000000000,0,INT_CUT-EA
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EAINT_CUTUA,2008-09-15,253.0,366 days 00:00:00.000000000,366,none
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,INT_CUT,2010-09-01,25.0,716 days 00:00:00.000000000,716,INT_CUT
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EAINT_CUT,2010-09-15,297.0,14 days 00:00:00.000000000,14,INT_CUT-EA
