NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_INT,GEN_ACT2
MESA PROJECT,A2INT_CUT,2006-06-15,140.0,0 days 00:00:00.000000000,0,INT_CUT-A2
MESA PROJECT,EA,2006-08-24,16.0,70 days 00:00:00.000000000,70,EA
MESA PROJECT,EA,2006-08-25,11.0,1 days 00:00:00.000000000,1,EA
SILVER CREEK,INT_CUT,2008-09-15,42.0,0 days 00:00:00.000000000,0,INT_CUT
SILVER CREEK,INT_CUT,2008-09-18,91.0,3 days 00:00:00.000000000,3,INT_CUT
SILVER CREEK,INT_CUT,2010-07-15,248.0,665 days 00:00:00.000000000,665,INT_CUT
"(PALS)DEVELOPED CAMPGROUND, TRAILS AND ROADWAYS CLEANUP PROJECT",INT_CUT,2016-06-01,23.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)SIXSHOOTER PROJECT,EAINT_CUT,2011-08-15,533.0,0 days 00:00:00.000000000,0,INT_CUT-EA
(PALS)SIXSHOOTER PROJECT,EAINT_CUT,2011-09-15,147.0,31 days 00:00:00.000000000,31,INT_CUT-EA
(PALS)SIXSHOOTER PROJECT,INT_CUT,2012-07-15,35.0,304 days 00:00:00.000000000,304,INT_CUT
(PALS)SIXSHOOTER PROJECT,EAINT_CUT,2012-08-01,149.0,17 days 00:00:00.000000000,17,INT_CUT-EA
(PALS)SIXSHOOTER PROJECT,INT_CUT,2012-08-02,22.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)SIXSHOOTER PROJECT,EA,2012-09-04,59.0,33 days 00:00:00.000000000,33,EA
(PALS)SIXSHOOTER PROJECT,EAINT_CUT,2012-09-13,394.0,9 days 00:00:00.000000000,9,INT_CUT-EA
(PALS)SIXSHOOTER PROJECT,EA,2013-08-13,7.0,334 days 00:00:00.000000000,334,EA
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2010-06-15,14.2,0 days 00:00:00.000000000,0,INT_CUT
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2010-09-15,44.39999999999999,92 days 00:00:00.000000000,92,INT_CUT
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2013-10-17,26.0,1128 days 00:00:00.000000000,1128,INT_CUT
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2013-11-15,2.0,29 days 00:00:00.000000000,29,INT_CUT
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2015-07-15,2.0,607 days 00:00:00.000000000,607,INT_CUT
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2016-09-01,5.8,414 days 00:00:00.000000000,414,INT_CUT
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2009-02-09,113.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2009-07-30,46.0,171 days 00:00:00.000000000,171,INT_CUT
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2010-09-03,112.0,400 days 00:00:00.000000000,400,INT_CUT
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2012-11-08,30.0,797 days 00:00:00.000000000,797,INT_CUT
(PALS)AIRLINE VEGETATION MANAGEMENT PROJECT,INT_CUT,2007-04-25,197.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)MIDDLE FORK SALVAGE DECISION NOTICE,INT_CUT,2008-10-24,345.0,0 days 00:00:00.000000000,0,INT_CUT
WHISKEY CAMPO RESOURCE MANAGEMENT PROJECT,INT_CUT,2005-09-30,238.0,0 days 00:00:00.000000000,0,INT_CUT
AIRLINE PROJECT,INT_CUT,2007-04-25,478.0,0 days 00:00:00.000000000,0,INT_CUT
HOLLYWOOD SANITATION PROJECT,INT_CUT,2005-10-15,174.29999999999998,0 days 00:00:00.000000000,0,INT_CUT
(PALS)BRUSH BOULDER,EAINT_CUT,2005-09-15,119.0,0 days 00:00:00.000000000,0,INT_CUT-EA
(PALS)BRUSH BOULDER,EAINT_CUT,2006-01-15,444.0,122 days 00:00:00.000000000,122,INT_CUT-EA
(PALS)BRUSH BOULDER,EA,2007-12-15,35.0,699 days 00:00:00.000000000,699,EA
(PALS)BRUSH BOULDER,EA,2008-07-15,19.0,213 days 00:00:00.000000000,213,EA
(PALS)BRUSH BOULDER,EAINT_CUT,2008-12-01,249.0,139 days 00:00:00.000000000,139,INT_CUT-EA
(PALS)VALLEY COUNTY QUARRY DEVELOPMENT,LAND_CLEAR,2019-09-09,5.0,0 days 00:00:00.000000000,0,LAND_CLEAR
JOHNSON RESOURCE MANAGEMENT PROJECT,A2,2005-11-30,39.0,0 days 00:00:00.000000000,0,A2
(PALS)RAINBOW POINT AND AMANITA CAMPGROUND FOREST HEALTH AND SAFETY IMPROVEMENT,INT_CUT,2017-05-30,5.7,0 days 00:00:00.000000000,0,INT_CUT
(PALS)RAINBOW POINT AND AMANITA CAMPGROUND FOREST HEALTH AND SAFETY IMPROVEMENT,INT_CUTUA,2018-04-03,20.0,308 days 00:00:00.000000000,308,INT_CUT-UA
ATLANTA SOUTH FUELS REDUCTION PROJECT,INT_CUT,2011-09-22,84.0,0 days 00:00:00.000000000,0,INT_CUT
ATLANTA SOUTH FUELS REDUCTION PROJECT,INT_CUT,2011-10-01,41.0,9 days 00:00:00.000000000,9,INT_CUT
ATLANTA SOUTH FUELS REDUCTION PROJECT,INT_CUT,2011-10-15,30.0,14 days 00:00:00.000000000,14,INT_CUT
ATLANTA SOUTH FUELS REDUCTION PROJECT,INT_CUT,2011-11-01,29.0,17 days 00:00:00.000000000,17,INT_CUT
ATLANTA SOUTH FUELS REDUCTION PROJECT,INT_CUT,2011-11-21,114.0,20 days 00:00:00.000000000,20,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2007-10-15,175.0,0 days 00:00:00.000000000,0,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2009-01-13,287.0,456 days 00:00:00.000000000,456,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2010-04-21,287.0,463 days 00:00:00.000000000,463,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2012-01-13,7.0,632 days 00:00:00.000000000,632,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2012-01-18,8.0,5 days 00:00:00.000000000,5,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2012-05-15,89.0,118 days 00:00:00.000000000,118,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2012-05-31,88.0,16 days 00:00:00.000000000,16,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2012-11-05,232.0,158 days 00:00:00.000000000,158,INT_CUT
"(PALS)MORES SOUTH FUEL REDUCTION PROJECT, DECISION NOTICE AND FONSI",INT_CUT,2016-09-28,175.0,1423 days 00:00:00.000000000,1423,INT_CUT
(PALS)WHITE FLAT RESOURCE MANAGEMENT PROJECT,INT_CUT,2013-08-20,330.0,0 days 00:00:00.000000000,0,INT_CUT
LOWER PARKS RESOURCE MANAGEMENT PROJECT,INT_CUT,2007-08-01,186.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)YELLOW PINE BLOWDOWN,INT_CUT,2017-09-08,31.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)CAMPGROUND MOUNTAIN PINE BEETLE PREVENTION AND SUPPRESSION PROJECT,INT_CUT,2012-09-15,24.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)CAMPGROUND MOUNTAIN PINE BEETLE PREVENTION AND SUPPRESSION PROJECT,INT_CUT,2014-08-10,37.0,694 days 00:00:00.000000000,694,INT_CUT
OLA GRADE SANITATION PROJECT,INT_CUT,2007-10-05,32.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)UPPER MIDDLE FORK PAYETTE RIVER DECISION NOTICE AND FONSI,INT_CUT,2018-11-07,132.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)LAKE CREEK STORM SALVAGE PROJECT,INT_CUT,2008-09-02,49.0,0 days 00:00:00.000000000,0,INT_CUT
PRINCE JOHN,EA,2004-12-01,96.0,0 days 00:00:00.000000000,0,EA
BARBER FLAT VEG. MGT. PROJECT,INT_CUT,2004-11-01,96.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)OLA GRADE SANITATION PROJECT,INT_CUT,2007-10-05,26.0,0 days 00:00:00.000000000,0,INT_CUT
SIXSHOOTER PROJECT,INT_CUT,2011-09-15,24.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)GOLDBUG COMMERCIAL FUELWOOD,EA,2008-09-01,28.0,0 days 00:00:00.000000000,0,EA
(PALS)GOLDBUG COMMERCIAL FUELWOOD,INT_CUT,2008-10-24,53.0,53 days 00:00:00.000000000,53,INT_CUT
(PALS)GOLDBUG COMMERCIAL FUELWOOD,INT_CUT,2010-12-03,54.0,770 days 00:00:00.000000000,770,INT_CUT
(PALS)MOSQUITO FLAT FUELS REDUCTION PROJECT DECISION NOTICE/FONSI,EA,2019-07-19,32.0,0 days 00:00:00.000000000,0,EA
(PALS)DN/FONSI HUGHES CREEK HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2011-11-05,317.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DECISION NOTICE FONSI FOR LO-ELLY FUELS REDUCTION PROJECT,INT_CUT,2012-11-30,198.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DECISION NOTICE FONSI FOR LO-ELLY FUELS REDUCTION PROJECT,INT_CUT,2014-07-28,89.0,605 days 00:00:00.000000000,605,INT_CUT
(PALS)DECISION NOTICE FONSI FOR LO-ELLY FUELS REDUCTION PROJECT,INT_CUT,2014-09-30,124.0,64 days 00:00:00.000000000,64,INT_CUT
(PALS)DECISION NOTICE FONSI FOR LO-ELLY FUELS REDUCTION PROJECT,INT_CUT,2016-09-28,163.0,729 days 00:00:00.000000000,729,INT_CUT
(PALS)DECISION NOTICE FONSI FOR LO-ELLY FUELS REDUCTION PROJECT,LAND_CLEAR,2016-09-29,28.0,1 days 00:00:00.000000000,1,LAND_CLEAR
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2005-06-05,25.0,0 days 00:00:00.000000000,0,INT_CUT-EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2005-08-01,8.0,57 days 00:00:00.000000000,57,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2005-08-30,11.0,29 days 00:00:00.000000000,29,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2005-09-01,10.0,2 days 00:00:00.000000000,2,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2005-10-01,15.0,30 days 00:00:00.000000000,30,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2006-05-30,18.0,241 days 00:00:00.000000000,241,INT_CUT-EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,INT_CUT,2006-06-01,13.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2006-06-30,64.0,29 days 00:00:00.000000000,29,INT_CUT-EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2006-07-15,6.0,15 days 00:00:00.000000000,15,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2006-07-30,7.0,15 days 00:00:00.000000000,15,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2006-08-30,9.0,31 days 00:00:00.000000000,31,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2006-10-24,6.0,55 days 00:00:00.000000000,55,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2006-10-30,28.0,6 days 00:00:00.000000000,6,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-05-30,31.0,212 days 00:00:00.000000000,212,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-06-06,12.0,7 days 00:00:00.000000000,7,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-06-10,15.0,4 days 00:00:00.000000000,4,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-06-30,70.0,20 days 00:00:00.000000000,20,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-07-01,20.0,1 days 00:00:00.000000000,1,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-07-15,26.0,14 days 00:00:00.000000000,14,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-07-30,9.0,15 days 00:00:00.000000000,15,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-08-01,41.0,2 days 00:00:00.000000000,2,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-08-15,6.0,14 days 00:00:00.000000000,14,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-08-30,11.0,15 days 00:00:00.000000000,15,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-10-30,33.0,61 days 00:00:00.000000000,61,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-10-31,53.0,1 days 00:00:00.000000000,1,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2007-11-30,3.0,30 days 00:00:00.000000000,30,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-06-18,34.0,201 days 00:00:00.000000000,201,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,INT_CUT,2008-06-20,7.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-07-25,29.0,35 days 00:00:00.000000000,35,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-08-10,10.0,16 days 00:00:00.000000000,16,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-08-13,17.0,3 days 00:00:00.000000000,3,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-08-20,4.0,7 days 00:00:00.000000000,7,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-09-01,9.0,12 days 00:00:00.000000000,12,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2008-09-05,83.0,4 days 00:00:00.000000000,4,INT_CUT-EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-09-08,25.0,3 days 00:00:00.000000000,3,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EA,2008-10-15,15.0,37 days 00:00:00.000000000,37,EA
(PALS)LITTLE WEISER LANDSCAPE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2008-10-28,180.0,13 days 00:00:00.000000000,13,INT_CUT-EA
(PALS)CAPE HORN ROAD FUELS REDUCTION,INT_CUT,2012-09-30,6.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)CAPE HORN ROAD FUELS REDUCTION,INT_CUT,2012-11-06,29.0,37 days 00:00:00.000000000,37,INT_CUT
(PALS)CAPE HORN ROAD FUELS REDUCTION,INT_CUT,2012-11-23,6.0,17 days 00:00:00.000000000,17,INT_CUT
(PALS)CAPE HORN ROAD FUELS REDUCTION,INT_CUT,2013-10-29,78.0,340 days 00:00:00.000000000,340,INT_CUT
(PALS)CAPE HORN ROAD FUELS REDUCTION,INT_CUT,2014-10-28,44.0,364 days 00:00:00.000000000,364,INT_CUT
(PALS)CAPE HORN ROAD FUELS REDUCTION,INT_CUT,2015-08-12,1532.0,288 days 00:00:00.000000000,288,INT_CUT
GIBBONSVILLE WILDLAND URBAN INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2007-10-15,40.0,0 days 00:00:00.000000000,0,INT_CUT
GIBBONSVILLE WILDLAND URBAN INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2007-10-30,191.0,15 days 00:00:00.000000000,15,INT_CUT
GIBBONSVILLE WILDLAND URBAN INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2007-12-10,103.0,41 days 00:00:00.000000000,41,INT_CUT
GIBBONSVILLE WILDLAND URBAN INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2008-01-02,113.0,23 days 00:00:00.000000000,23,INT_CUT
GIBBONSVILLE WILDLAND URBAN INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2010-08-19,43.0,960 days 00:00:00.000000000,960,INT_CUT
GIBBONSVILLE WILDLAND URBAN INTERFACE FUELS REDUCTION PROJECT,INT_CUT,2010-12-01,183.0,104 days 00:00:00.000000000,104,INT_CUT
TAMARACK THIN,INT_CUT,2005-02-20,30.0,0 days 00:00:00.000000000,0,INT_CUT
TAMARACK THIN,INT_CUT,2005-03-20,42.0,28 days 00:00:00.000000000,28,INT_CUT
TAMARACK THIN,INT_CUT,2005-06-20,175.0,92 days 00:00:00.000000000,92,INT_CUT
(PALS)RANSACK HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2006-09-30,136.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)RANSACK HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2006-10-15,44.0,15 days 00:00:00.000000000,15,INT_CUT
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-06-01,22.0,0 days 00:00:00.000000000,0,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-06-23,41.0,22 days 00:00:00.000000000,22,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-06-30,14.0,7 days 00:00:00.000000000,7,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EAINT_CUT,2007-07-30,18.0,30 days 00:00:00.000000000,30,INT_CUT-EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-08-01,90.0,2 days 00:00:00.000000000,2,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-08-15,230.0,14 days 00:00:00.000000000,14,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EAINT_CUT,2007-08-30,82.1,15 days 00:00:00.000000000,15,INT_CUT-EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-09-30,4.0,31 days 00:00:00.000000000,31,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2007-10-30,75.0,30 days 00:00:00.000000000,30,EA
(PALS)BEAR TORNADO RECOVERY PROJECT,EA,2008-09-30,7.0,336 days 00:00:00.000000000,336,EA
(PALS)DECISION MEMO FOR DEEP CREEK RIDGE SALVAGE PROJECT,INT_CUT,2018-09-13,55.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)SALMON INTERFACE ADN MOOSE CREEK FUELS REDUCTION EA DN/FONSI,EA,2011-01-03,12.0,0 days 00:00:00.000000000,0,EA
(PALS)SALMON INTERFACE ADN MOOSE CREEK FUELS REDUCTION EA DN/FONSI,EA,2011-09-30,50.0,270 days 00:00:00.000000000,270,EA
(PALS)DECISION MEMO FOR CHALLIS MUNICIPAL THINNING PROJECT,LAND_CLEAR,2016-09-29,175.0,0 days 00:00:00.000000000,0,LAND_CLEAR
(PALS)DECISION MEMO STARHOPE FUELS REDUCTION PRESCRIBED BURN PROJECT,INT_CUT,2010-10-11,36.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DECISION MEMO STARHOPE FUELS REDUCTION PRESCRIBED BURN PROJECT,LAND_CLEAR,2016-09-29,252.0,2180 days 00:00:00.000000000,2180,LAND_CLEAR
(PALS)GARDEN CREEK FUELS REDUCTION PROJECT,INT_CUT,2017-08-04,3.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)BONANZA FOREST PRODUCTS PROJECT,INT_CUT,2012-09-28,14.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)BONANZA FOREST PRODUCTS PROJECT,INT_CUT,2013-09-23,70.0,360 days 00:00:00.000000000,360,INT_CUT
(PALS)BRUNDAGE VEGETATION MANAGEMENT PROJECT,INT_CUTLAND_CLEAR,2010-07-15,16.0,0 days 00:00:00.000000000,0,INT_CUT-LAND_CLEAR
(PALS)BRUNDAGE VEGETATION MANAGEMENT PROJECT,INT_CUTLAND_CLEAR,2010-08-15,14.0,31 days 00:00:00.000000000,31,INT_CUT-LAND_CLEAR
(PALS)BRUNDAGE VEGETATION MANAGEMENT PROJECT,INT_CUTLAND_CLEAR,2010-09-15,78.0,31 days 00:00:00.000000000,31,INT_CUT-LAND_CLEAR
(PALS)BRUNDAGE VEGETATION MANAGEMENT PROJECT,INT_CUT,2011-11-15,39.0,426 days 00:00:00.000000000,426,INT_CUT
(PALS)BRUNDAGE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2012-08-01,43.0,260 days 00:00:00.000000000,260,INT_CUT-EA
(PALS)BRUNDAGE VEGETATION MANAGEMENT PROJECT,EAINT_CUT,2012-08-02,70.0,1 days 00:00:00.000000000,1,INT_CUT-EA
(PALS)GRAYS CREEK FIRE SALVAGE PROJECT ENVIRONMENTAL ASSESSMENT,EA,2008-05-30,17.0,0 days 00:00:00.000000000,0,EA
(PALS)GRAYS CREEK FIRE SALVAGE PROJECT ENVIRONMENTAL ASSESSMENT,EA,2008-09-09,1081.1999999999998,102 days 00:00:00.000000000,102,EA
(PALS)GRAYS CREEK FIRE SALVAGE PROJECT ENVIRONMENTAL ASSESSMENT,EA,2008-09-30,9.0,21 days 00:00:00.000000000,21,EA
(PALS)GRAYS CREEK FIRE SALVAGE PROJECT ENVIRONMENTAL ASSESSMENT,EA,2008-12-30,107.0,91 days 00:00:00.000000000,91,EA
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2,2006-06-30,4.0,0 days 00:00:00.000000000,0,A2
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2,2006-09-20,44.0,82 days 00:00:00.000000000,82,A2
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2EA,2008-08-15,42.0,695 days 00:00:00.000000000,695,A2-EA
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2EA,2008-08-22,65.0,7 days 00:00:00.000000000,7,A2-EA
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,INT_CUT,2008-09-26,18.0,35 days 00:00:00.000000000,35,INT_CUT
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2,2008-09-29,36.0,3 days 00:00:00.000000000,3,A2
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2,2008-09-30,4.0,1 days 00:00:00.000000000,1,A2
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2EA,2008-10-31,87.0,31 days 00:00:00.000000000,31,A2-EA
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2,2008-11-28,19.0,28 days 00:00:00.000000000,28,A2
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2EA,2008-12-31,33.0,33 days 00:00:00.000000000,33,A2-EA
(PALS)PADDY FLAT VEGETATION MANAGEMENT PROJECT,A2EA,2009-06-30,179.0,181 days 00:00:00.000000000,181,A2-EA
(PALS)UPPER WEISER CONDITION CLASS PROJECT DECISION MEMO,EA,2006-04-27,7.0,0 days 00:00:00.000000000,0,EA
(PALS)UPPER WEISER CONDITION CLASS PROJECT DECISION MEMO,EA,2008-09-01,14.0,858 days 00:00:00.000000000,858,EA
(PALS)UPPER WEISER CONDITION CLASS PROJECT DECISION MEMO,EA,2008-09-30,20.0,29 days 00:00:00.000000000,29,EA
(PALS)UPPER WEISER CONDITION CLASS PROJECT DECISION MEMO,EA,2008-10-31,5.0,31 days 00:00:00.000000000,31,EA
(PALS)UPPER WEISER CONDITION CLASS PROJECT DECISION MEMO,EA,2008-11-28,47.0,28 days 00:00:00.000000000,28,EA
(PALS)UPPER WEISER CONDITION CLASS PROJECT DECISION MEMO,EA,2008-12-31,9.0,33 days 00:00:00.000000000,33,EA
MANN CREEK,EA,2006-11-30,6.2,0 days 00:00:00.000000000,0,EA
MANN CREEK,EAINT_CUT,2007-01-01,29.7,32 days 00:00:00.000000000,32,INT_CUT-EA
MANN CREEK,INT_CUT,2007-06-30,24.0,180 days 00:00:00.000000000,180,INT_CUT
MANN CREEK,EAINT_CUT,2007-10-22,20.0,114 days 00:00:00.000000000,114,INT_CUT-EA
(PALS)MIDDLE LITTLE SALMON VEGETATION MANAGEMENT PROJECT RECORD OF DECISION,INT_CUT,2006-08-31,12.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)BURGDORF ADMINISTRATIVE HAZARD TREE PROJECT,INT_CUT,2012-09-24,7.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2011-07-05,22.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2011-09-20,42.0,77 days 00:00:00.000000000,77,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2011-10-15,14.0,25 days 00:00:00.000000000,25,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2011-11-05,21.0,21 days 00:00:00.000000000,21,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2011-11-15,22.0,10 days 00:00:00.000000000,10,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2011-11-25,38.0,10 days 00:00:00.000000000,10,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2012-05-20,47.0,177 days 00:00:00.000000000,177,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2012-06-23,71.0,34 days 00:00:00.000000000,34,INT_CUT
(PALS)CUPRUM FUELS REDUCTION PROJECT,INT_CUT,2012-07-04,47.0,11 days 00:00:00.000000000,11,INT_CUT
MIDDLE LITTLE SALMON EIS,EA,2004-03-01,34.0,0 days 00:00:00.000000000,0,EA
MIDDLE LITTLE SALMON EIS,EA,2006-11-30,11.0,1004 days 00:00:00.000000000,1004,EA
(PALS)SOUTH FORK BOISE RIVER PONDEROSA PINE THINNING PROJECT,INT_CUT,2009-04-22,58.0,0 days 00:00:00.000000000,0,INT_CUT
