NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-09-30,16.0,5 days 00:00:00.000000000,EA-RH-NFH to INT_CUT,5
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-09-30,96.0,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-10-01,18.0,1 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,1
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-10-30,32.0,29 days 00:00:00.000000000,EA-RH-FH to INT_CUT,29
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2000-10-30,97.0,0 days 00:00:00.000000000,EA-RH-NFH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2000-11-01,46.0,2 days 00:00:00.000000000,EA-RH-NFH to UA-RH-FH,2
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-11-01,47.0,0 days 00:00:00.000000000,EA-RH-FH and UA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-11-30,13.0,29 days 00:00:00.000000000,EA-RH-FH to INT_CUT,29
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2000-11-30,17.0,0 days 00:00:00.000000000,EA-RH-NFH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2000-12-01,78.0,1 days 00:00:00.000000000,EA-RH-NFH to UA-RH-FH,1
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2000-12-01,33.0,0 days 00:00:00.000000000,EA-RH-NFH and UA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-12-01,90.0,0 days 00:00:00.000000000,EA-RH-FH and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-12-15,30.0,14 days 00:00:00.000000000,EA-RH-FH to INT_CUT,14
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2001-01-01,13.0,17 days 00:00:00.000000000,INT_CUT to EA-RH-FH,17
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2001-01-01,46.0,0 days 00:00:00.000000000,UA-RH-FH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2001-04-04,135.4,93 days 00:00:00.000000000,UA-RH-FH to INT_CUT,93
DEFAULT FOR NOT REQUIRED,INT_CUT,2001-06-06,70.0,63 days 00:00:00.000000000,INT_CUT to INT_CUT,63
DEFAULT FOR NOT REQUIRED,INT_CUT,2001-06-15,169.0,9 days 00:00:00.000000000,INT_CUT to INT_CUT,9
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2001-07-01,16.0,16 days 00:00:00.000000000,INT_CUT to EA-RH-FH,16
